,Apple AirPods with Charging Case,NutriBullet,CLIF BAR - Energy Bars,Charmin Ultra Soft Cushiony Touch Toilet Paper,Pantene Moisturizing Shampoo and Conditioner,Acrylic Paint Set,Gatorade Thirst Quencher,180s Fleece Behind-the-Head Earmuffs,Echo Plus (2nd Gen) with Philips Hue Bulb,adidas Women's Grand Court Sneaker
Total function words,0.3710216546676471,0.32572424341974016,0.40842370000446765,0.3026626173355583,0.36942761724950995,0.34950421950462135,0.283445884014915,0.28017566563357466,0.4150659539157915,0.4150659539157915
Total pronouns,0.012422360248447204,0.008547008547008548,0.011627906976744186,,0.008329725576610015,,0.007905138339920948,,,
Personal pronouns,,,,,,,,,,
First pers singular,0.006211180124223602,0.017094017094017096,0.03488372093023256,0.024390243902439025,0.08280254777070063,0.10810810810810811,0.019762845849802372,,0.05263157894736842,0.05263157894736842
First pers plural,,,0.016221099412348516,0.010823015738245125,,,0.0034063949830501644,,,
Second person,0.048576977060678386,,,,0.006369426751592357,,0.019762845849802372,,,
Third pers singular,,,,,,,0.003952569169960474,,,
Third pers plural,0.018633540372670808,0.008547008547008548,,,0.006369426751592357,,0.011857707509881422,,,
Impersonal pronouns,0.006211180124223602,,,,0.006369426751592357,,0.02766798418972332,,,
Articles,0.006211180124223602,0.017094017094017096,,,0.006369426751592357,,0.003952569169960474,,,
Prepositions,0.0610930502120442,0.07692307692307693,0.03488372093023256,0.0658388125898768,0.04712600402783374,0.02702702702702703,0.10077848450958396,0.038461538461538464,0.10526315789473684,0.10526315789473684
Auxiliary verbs,0.006211180124223602,0.02564102564102564,,,0.012738853503184714,0.02702702702702703,0.003952569169960474,,,
Common Adverbs,,,,,,,,,,
Conjunctions,0.024844720496894408,0.06837606837606838,0.011627906976744186,0.04878048780487805,0.03184713375796178,0.05405405405405406,0.05138339920948617,0.038461538461538464,,
Negations,,0.008547008547008548,0.011627906976744186,,,,,,,
Common verbs,,,0.011627906976744186,,0.004112816280312351,,,,,
Common adjectives,,0.008547008547008548,,,,,,,,
Comparisons,0.006211180124223602,0.017094017094017096,,0.024390243902439025,0.01910828025477707,,0.015810276679841896,0.038461538461538464,,
Interrogatives,0.018633540372670808,0.008547008547008548,,,0.006369426751592357,,,0.038461538461538464,,
Numbers,0.006211180124223602,0.017094017094017096,,,,,,,0.05263157894736842,0.05263157894736842
Quantifiers,0.006211180124223602,0.02564102564102564,0.011627906976744186,,0.012738853503184714,,0.007905138339920948,,,
Affective processes,,,,,,,,,,
Positive emotion,,,,,0.01910828025477707,,0.003952569169960474,0.038461538461538464,,
Negative emotion,,,,,,,,,,
Anxiety,,,,,,,,,,
Anger,,,,,,,,,,
Sadness,,,,,,,,,,
Social processes,0.011201012732048913,,,,0.006369426751592357,,,,,
Family,,,,,,,,,,
Friends,,,,,,,,,,
Female references,,,,,,,,,,
Male references,,,,,,,,,,
Cognitive processes,,,0.011627906976744186,,,,,,,
Insight,,,,,0.01910828025477707,,,,,
Causation,0.006211180124223602,0.02564102564102564,0.03488372093023256,0.024390243902439025,0.006369426751592357,,0.011857707509881422,0.038461538461538464,,
Discrepancy,0.006211180124223602,,,,0.025477707006369428,,,,,
Tentative,,,,,,,,,,
Certainty,,,,0.04878048780487805,,,,,,
Differentiation,,,,,,,,,,
Perceptual processes,0.00463273943809684,,,,0.006369426751592357,,,,,
See,,,,,0.006369426751592357,,,,,
Hear,0.024844720496894408,,,,,,,,,
Feel,,,,,,,0.003952569169960474,,,
Biological processes,,,,,,,,,,
Body,,,,,,,0.011857707509881422,,,
Health,,,,,,,,,,
Sexual,,,,,,,,,,
Ingestion,,,,,,,,,,
Affiliation,,0.006891297399653198,,,,,0.003952569169960474,,,
Achievement,,,,,,,,,,
Power,,,,,,,,,,
Reward,0.006211180124223602,,,,,,0.00276377955003522,,,
Risk,,,,,,,,,,
Past focus,,,,,,0.02702702702702703,,,,
Present focus,0.012422360248447204,0.017094017094017096,0.023255813953488372,,0.01910828025477707,0.05405405405405406,0.011857707509881422,0.15384615384615385,,
Future focus,0.006211180124223602,,,,,,,,,
Relativity ,,,,,,,,,,
Motion,,0.010243483491488658,,0.04878048780487805,0.006369426751592357,0.02702702702702703,0.003952569169960474,,,
Space,0.012422360248447204,,,,0.01910828025477707,0.02702702702702703,0.03162055335968379,,,
Time,0.006211180124223602,,,,,,0.011857707509881422,,,
Work,,,,,,,,,,
Leisure,,,,,,,,,,
Home,,,,,,,,,,
Money,,,,,,,,,,
Religion,,,,,,,,,,
Death,,,,,,,0.003952569169960474,,,
Swear words,,,,,,,,,,
Netspeak,,,,,,,,,,
Assent,,,,,,,0.0017917894778856226,,,
Nonfluencies ,,,,,,,,,,
Fillers,,,,,,,,,,
